"algo","original","parallel"
"1","regression",4.43600000000151,5.66999999999825
"2","elastic net",6.83499999999185,2.2560000000085
"3","random forests",23.8850000000093,12.3739999999962
"4","xgboost",107.112999999998,23.94200000001
